feature,coefficient,abs_coefficient
MonthlyIncome,3.357887591736024,3.357887591736024
LoanToIncomeRatio,-2.8264379987688204,2.8264379987688204
LoanAmount,-1.8236691067524744,1.8236691067524744
EducationLevel_High School,-1.6295776290971733,1.6295776290971733
EmploymentStatus_Unemployed,-1.5262368991919701,1.5262368991919701
MonthlyDebtBurden,-1.4756193493291607,1.4756193493291607
EducationLevel_Doctorate,1.2228136309991533,1.2228136309991533
NetWorth,1.055552964557704,1.055552964557704
EducationLevel_Associate,-1.025008625925683,1.025008625925683
LengthOfCreditHistory,0.8904933735681969,0.8904933735681969
BankruptcyHistory,-0.8240170222004808,0.8240170222004808
AnnualIncome,-0.7934825718229149,0.7934825718229149
LoanDuration,-0.7852706046064909,0.7852706046064909
MaritalStatus_Widowed,-0.7273395111881255,0.7273395111881255
PreviousLoanDefaults,-0.7029938198941297,0.7029938198941297
HomeOwnershipStatus_Rent,-0.6948278095041495,0.6948278095041495
HomeOwnershipStatus_Other,-0.6831341767785052,0.6831341767785052
Age,0.587988273309403,0.587988273309403
TotalAssets,0.45381274634574426,0.45381274634574426
EducationLevel_Bachelor,-0.44630477668987384,0.44630477668987384
LoanPurpose_Home,-0.4090431886820983,0.4090431886820983
LoanPurpose_Debt Consolidation,-0.3405559056406499,0.3405559056406499
CreditScore,0.3365350379402169,0.3365350379402169
EducationLevel_Master,0.3274203993335156,0.3274203993335156
MaritalStatus_Married,-0.3118287130286367,0.3118287130286367
LoanPurpose_Auto,-0.30490919116577897,0.30490919116577897
MaritalStatus_Divorced,-0.28316083049374335,0.28316083049374335
LoanPurpose_Education,-0.2582834110365077,0.2582834110365077
Experience,-0.2505717619663611,0.2505717619663611
LoanPurpose_Other,-0.23786530485503024,0.23786530485503024
PaymentHistory,0.2313997827128804,0.2313997827128804
MaritalStatus_Single,-0.22832794666955922,0.22832794666955922
HomeOwnershipStatus_Own,-0.10923240289967806,0.10923240289967806
TotalLiabilities,-0.08905469180587479,0.08905469180587479
HomeOwnershipStatus_Mortgage,-0.06346261219773307,0.06346261219773307
NumberOfOpenCreditLines,0.058878602085430186,0.058878602085430186
JobTenure,0.0489027207063564,0.0489027207063564
UtilityBillsPaymentHistory,0.04457866200088695,0.04457866200088695
NetWorthToLoanRatio,-0.043388175689993536,0.043388175689993536
NumberOfDependents,-0.027981463084479442,0.027981463084479442
EmploymentStatus_Employed,-0.024634752123198194,0.024634752123198194
LiquidityToLoanRatio,0.021116049114386953,0.021116049114386953
SavingsAccountBalance,0.018578137616036307,0.018578137616036307
CheckingAccountBalance,-0.0163663308502512,0.0163663308502512
NumberOfCreditInquiries,-0.014548317543804751,0.014548317543804751
CreditCardUtilizationRate,-0.010846587607074094,0.010846587607074094
DebtToIncomeRatio,-0.004221281097472995,0.004221281097472995
MonthlyDebtPayments,-0.004048337824465255,0.004048337824465255
EmploymentStatus_Self-Employed,0.00021464993510064657,0.00021464993510064657
